783111,|/10174816|/10174758|/9944463|/9704599|/9660220|/9566487|/9477703|/9229485|/9020611|/8394120|/8136502|/8135753|/8098912|/8059400|/7948014|/7932623|/7822739|/7792048|/7651420|/7538135|/7452777|/7459577|/7370837|/7264572|/7012009|/6848135|/6767875|/6687672|/6645844|/6505669|/6267351|/6236310|/6219786|/6170878|/6145339|/6088975|/5899751|/5786735|/5655834|/5314793|/5301501|/5282357|/5127370|/4937031|/4887330|/4873964|/4694821|/4593289|/4476844|/4282165
1391445,|/9934125|/9913224|/9906657|/9906477|/9180379|/8885393|/8885369|/8762329|/8704856|/8704840|/8704803|/8628256|/8628244|/8603226|/8603207|/8603182|/8603154|/7967664|/7967616|/7779687|/7571896|/7526900|/7252800|/6379942|/6375485|/5676733|/5658214|/5657604|/5504720|/5439602|/5404081|/5371458|/5146485|/5132879|/4926265|/4888987|/4886810|/4850007|/4835547|/4810843|/4784665|/4726173|/4645184|/4346122|/4246469|/4232650|/4210054
2474126,|/9581523|/9498236|/8483628|/8232629|/7970854|/7906245|/7906234|/7880939|/7800579|/7718548|/7718540|/7718531|/7610970|/7585555|/7433362|/7410518|/7342856|/7342846|/7310684|/7283080|/7283077|/7041471|/7041369|/7007414|/6963629|/6952004|/6863352|/6687284|/6504360|/6504276|/6495546|/6494834|/6337723|/6330016|/6326296|/6326086|/6270588|/6093705|/6044078|/6044026|/6043997|/6029047|/5984415|/5984326|/5943046
1873446,|/10269214|/10239214|/9841431|/9793242|/9450040|/9253719|/9206350|/9060171|/9206350|/8669458|/8335336|/7966937|/7803497|/7718007|/7661521|/7803497|/7966937|/8335336|/7537399|/7394427|/7345339|/6883006|/6850098|/7394427|/7537399|/6382585|/6244963|/6167237|/6101284|/5897252|/5860440|/5770242|/5664044|/5546785|/5485743|/5463260|/5418653|/5391722|/5356038|/5239678|/5170483|/5103951|/4768683
183036,|/9890198|/9890126|/9888298|/9311102|/9163923|/9163885|/9163868|/9156127|/9155936|/9154640|/9153956|/8606905|/8271553|/8030152|/8030046|/8030000|/8023457|/8023029|/8022835|/7686115|/7491246|/7491148|/7292762|/7260286|/7187210|/6878807|/6878789|/6646831|/6646807|/6646775|/6646757|/6646740|/6232895|/6124573|/5605007|/5604912|/5604890|/5349689|/5349666|/4273178|/4273100|/4273036|/4272945
2027532,|/8545299|/8534842|/6763465|/6223775|/6120454|/6085002|/5988197|/5948944|/5933623|/5931454|/5899706|/5884864|/5867765|/5865256|/5862311|/5824087|/5788345|/5783686|/5780676|/5755477|/5738809|/5731670|/5721441|/5720792|/5347217|/5343979|/5323089|/5304732|/5298627|/5291133|/5282491|/5273920|/5269522|/5214834|/5211025|/5210263|/5197680|/5195042|/5174694|/5173345|/5171446|/5087660|/5086753
1421763,|/9911961|/9906036|/9434962|/9866434|/9801528|/9791710|/9001162|/9165656|/9162918|/9162133|/8689248|/8689158|/8245636|/8245646|/8245669|/8245675|/8245697|/7949812|/7944384|/7935890|/7932745|/7924985|/7882720|/7876144|/7454199|/6787380|/6779091|/6757869|/6752253|/6710142|/6571601|/6350273|/5982674|/5782897|/5586100|/5553038|/5245329|/5168939|/5022665|/4737057
883939,|/10240712|/10127586|/10052473|/9939903|/9780196|/9742457|/9361701|/9016319|/8327121|/8177633|/8120647|/8108756|/8010293|/7949824|/7702981|/6958435|/7449249|/7313590|/6889636|/6448555|/6143389|/5931663|/5600185|/5524199|/5444819|/5406422|/5368647|/5356302|/5120623|/5034202|/5017638|/4902890|/4877724|/4702140|/4672875|/4208220|/3984653|/4008262
678686,|/9883646|/9193951|/8932433|/8932405|/8932394|/7809843|/7809825|/7752140|/7752072|/7751823|/7751696|/7751641|/7751306|/7751153|/6200726|/6185917|/6185905|/6185883|/5739338|/5721713|/5682648|/5679469|/5679452|/5679438|/5521790|/5517737|/5513991|/5510861|/5510837|/5510819|/4860973|/4857420|/4709391|/4388522|/4149216|/4096404|/4093576|/4090721
2829336,|/10335121|/9804648|/9643530|/9638970|/9023653|/8393783|/8015136|/7944253|/7888699|/7831108|/7819991|/7794579|/7787420|/7728571|/7652152|/7647747|/7630356|/7622036|/7620609|/7592372|/7573713|/7557426|/7555464|/7554577|/7539544|/7531049|/7500333|/7491394|/7444085|/7281040|/7053396|/6939112|/6938263
